date,value,series_id,country,source,frequency,release_date,ingested_at
2018-05-01,8.3,m2,china,tushare,monthly,2018-05-01,2026-03-28 08:13:22.856771+00:00
2018-06-01,8.0,m2,china,tushare,monthly,2018-06-01,2026-03-28 08:13:22.856771+00:00
2018-07-01,8.5,m2,china,tushare,monthly,2018-07-01,2026-03-28 08:13:22.856771+00:00
2018-08-01,8.2,m2,china,tushare,monthly,2018-08-01,2026-03-28 08:13:22.856771+00:00
2018-09-01,8.3,m2,china,tushare,monthly,2018-09-01,2026-03-28 08:13:22.856771+00:00
2018-10-01,8.0,m2,china,tushare,monthly,2018-10-01,2026-03-28 08:13:22.856771+00:00
2018-11-01,8.0,m2,china,tushare,monthly,2018-11-01,2026-03-28 08:13:22.856771+00:00
2018-12-01,8.1,m2,china,tushare,monthly,2018-12-01,2026-03-28 08:13:22.856771+00:00
2019-01-01,8.4,m2,china,tushare,monthly,2019-01-01,2026-03-28 08:13:22.856771+00:00
2019-02-01,8.0,m2,china,tushare,monthly,2019-02-01,2026-03-28 08:13:22.856771+00:00
2019-03-01,8.6,m2,china,tushare,monthly,2019-03-01,2026-03-28 08:13:22.856771+00:00
2019-04-01,8.5,m2,china,tushare,monthly,2019-04-01,2026-03-28 08:13:22.856771+00:00
2019-05-01,8.5,m2,china,tushare,monthly,2019-05-01,2026-03-28 08:13:22.856771+00:00
2019-06-01,8.5,m2,china,tushare,monthly,2019-06-01,2026-03-28 08:13:22.856771+00:00
2019-07-01,8.1,m2,china,tushare,monthly,2019-07-01,2026-03-28 08:13:22.856771+00:00
2019-08-01,8.2,m2,china,tushare,monthly,2019-08-01,2026-03-28 08:13:22.856771+00:00
2019-09-01,8.4,m2,china,tushare,monthly,2019-09-01,2026-03-28 08:13:22.856771+00:00
2019-10-01,8.4,m2,china,tushare,monthly,2019-10-01,2026-03-28 08:13:22.856771+00:00
2019-11-01,8.2,m2,china,tushare,monthly,2019-11-01,2026-03-28 08:13:22.856771+00:00
2019-12-01,8.7,m2,china,tushare,monthly,2019-12-01,2026-03-28 08:13:22.856771+00:00
2020-01-01,8.4,m2,china,tushare,monthly,2020-01-01,2026-03-28 08:13:22.856771+00:00
2020-02-01,8.8,m2,china,tushare,monthly,2020-02-01,2026-03-28 08:13:22.856771+00:00
2020-03-01,10.1,m2,china,tushare,monthly,2020-03-01,2026-03-28 08:13:22.856771+00:00
2020-04-01,11.1,m2,china,tushare,monthly,2020-04-01,2026-03-28 08:13:22.856771+00:00
2020-05-01,11.1,m2,china,tushare,monthly,2020-05-01,2026-03-28 08:13:22.856771+00:00
2020-06-01,11.1,m2,china,tushare,monthly,2020-06-01,2026-03-28 08:13:22.856771+00:00
2020-07-01,10.7,m2,china,tushare,monthly,2020-07-01,2026-03-28 08:13:22.856771+00:00
2020-08-01,10.4,m2,china,tushare,monthly,2020-08-01,2026-03-28 08:13:22.856771+00:00
2020-09-01,10.9,m2,china,tushare,monthly,2020-09-01,2026-03-28 08:13:22.856771+00:00
2020-10-01,10.5,m2,china,tushare,monthly,2020-10-01,2026-03-28 08:13:22.856771+00:00
2020-11-01,10.7,m2,china,tushare,monthly,2020-11-01,2026-03-28 08:13:22.856771+00:00
2020-12-01,10.1,m2,china,tushare,monthly,2020-12-01,2026-03-28 08:13:22.856771+00:00
2021-01-01,9.4,m2,china,tushare,monthly,2021-01-01,2026-03-28 08:13:22.856771+00:00
2021-02-01,10.1,m2,china,tushare,monthly,2021-02-01,2026-03-28 08:13:22.856771+00:00
2021-03-01,9.4,m2,china,tushare,monthly,2021-03-01,2026-03-28 08:13:22.856771+00:00
2021-04-01,8.1,m2,china,tushare,monthly,2021-04-01,2026-03-28 08:13:22.856771+00:00
2021-05-01,8.3,m2,china,tushare,monthly,2021-05-01,2026-03-28 08:13:22.856771+00:00
2021-06-01,8.6,m2,china,tushare,monthly,2021-06-01,2026-03-28 08:13:22.856771+00:00
2021-07-01,8.3,m2,china,tushare,monthly,2021-07-01,2026-03-28 08:13:22.856771+00:00
2021-08-01,8.2,m2,china,tushare,monthly,2021-08-01,2026-03-28 08:13:22.856771+00:00
2021-09-01,8.3,m2,china,tushare,monthly,2021-09-01,2026-03-28 08:13:22.856771+00:00
2021-10-01,8.7,m2,china,tushare,monthly,2021-10-01,2026-03-28 08:13:22.856771+00:00
2021-11-01,8.5,m2,china,tushare,monthly,2021-11-01,2026-03-28 08:13:22.856771+00:00
2021-12-01,9.0,m2,china,tushare,monthly,2021-12-01,2026-03-28 08:13:22.856771+00:00
2022-01-01,9.8,m2,china,tushare,monthly,2022-01-01,2026-03-28 08:13:22.856771+00:00
2022-02-01,9.2,m2,china,tushare,monthly,2022-02-01,2026-03-28 08:13:22.856771+00:00
2022-03-01,9.7,m2,china,tushare,monthly,2022-03-01,2026-03-28 08:13:22.856771+00:00
2022-04-01,10.5,m2,china,tushare,monthly,2022-04-01,2026-03-28 08:13:22.856771+00:00
2022-05-01,11.1,m2,china,tushare,monthly,2022-05-01,2026-03-28 08:13:22.856771+00:00
2022-06-01,11.4,m2,china,tushare,monthly,2022-06-01,2026-03-28 08:13:22.856771+00:00
2022-07-01,12.0,m2,china,tushare,monthly,2022-07-01,2026-03-28 08:13:22.856771+00:00
2022-08-01,12.2,m2,china,tushare,monthly,2022-08-01,2026-03-28 08:13:22.856771+00:00
2022-09-01,12.1,m2,china,tushare,monthly,2022-09-01,2026-03-28 08:13:22.856771+00:00
2022-10-01,11.8,m2,china,tushare,monthly,2022-10-01,2026-03-28 08:13:22.856771+00:00
2022-11-01,12.4,m2,china,tushare,monthly,2022-11-01,2026-03-28 08:13:22.856771+00:00
2022-12-01,11.8,m2,china,tushare,monthly,2022-12-01,2026-03-28 08:13:22.856771+00:00
2023-01-01,12.6,m2,china,tushare,monthly,2023-01-01,2026-03-28 08:13:22.856771+00:00
2023-02-01,12.9,m2,china,tushare,monthly,2023-02-01,2026-03-28 08:13:22.856771+00:00
2023-03-01,12.7,m2,china,tushare,monthly,2023-03-01,2026-03-28 08:13:22.856771+00:00
2023-04-01,12.4,m2,china,tushare,monthly,2023-04-01,2026-03-28 08:13:22.856771+00:00
2023-05-01,11.6,m2,china,tushare,monthly,2023-05-01,2026-03-28 08:13:22.856771+00:00
2023-06-01,11.3,m2,china,tushare,monthly,2023-06-01,2026-03-28 08:13:22.856771+00:00
2023-07-01,10.7,m2,china,tushare,monthly,2023-07-01,2026-03-28 08:13:22.856771+00:00
2023-08-01,10.6,m2,china,tushare,monthly,2023-08-01,2026-03-28 08:13:22.856771+00:00
2023-09-01,10.3,m2,china,tushare,monthly,2023-09-01,2026-03-28 08:13:22.856771+00:00
2023-10-01,10.3,m2,china,tushare,monthly,2023-10-01,2026-03-28 08:13:22.856771+00:00
2023-11-01,10.0,m2,china,tushare,monthly,2023-11-01,2026-03-28 08:13:22.856771+00:00
2023-12-01,9.7,m2,china,tushare,monthly,2023-12-01,2026-03-28 08:13:22.856771+00:00
2024-01-01,8.7,m2,china,tushare,monthly,2024-01-01,2026-03-28 08:13:22.856771+00:00
2024-02-01,8.7,m2,china,tushare,monthly,2024-02-01,2026-03-28 08:13:22.856771+00:00
2024-03-01,8.3,m2,china,tushare,monthly,2024-03-01,2026-03-28 08:13:22.856771+00:00
2024-04-01,7.2,m2,china,tushare,monthly,2024-04-01,2026-03-28 08:13:22.856771+00:00
2024-05-01,7.0,m2,china,tushare,monthly,2024-05-01,2026-03-28 08:13:22.856771+00:00
2024-06-01,6.2,m2,china,tushare,monthly,2024-06-01,2026-03-28 08:13:22.856771+00:00
2024-07-01,6.3,m2,china,tushare,monthly,2024-07-01,2026-03-28 08:13:22.856771+00:00
2024-08-01,6.3,m2,china,tushare,monthly,2024-08-01,2026-03-28 08:13:22.856771+00:00
2024-09-01,6.8,m2,china,tushare,monthly,2024-09-01,2026-03-28 08:13:22.856771+00:00
2024-10-01,7.5,m2,china,tushare,monthly,2024-10-01,2026-03-28 08:13:22.856771+00:00
2024-11-01,7.1,m2,china,tushare,monthly,2024-11-01,2026-03-28 08:13:22.856771+00:00
2024-12-01,7.3,m2,china,tushare,monthly,2024-12-01,2026-03-28 08:13:22.856771+00:00
2025-01-01,7.0,m2,china,tushare,monthly,2025-01-01,2026-03-28 08:13:22.856771+00:00
2025-02-01,7.0,m2,china,tushare,monthly,2025-02-01,2026-03-28 08:13:22.856771+00:00
2025-03-01,7.0,m2,china,tushare,monthly,2025-03-01,2026-03-28 08:13:22.856771+00:00
2025-04-01,8.0,m2,china,tushare,monthly,2025-04-01,2026-03-28 08:13:22.856771+00:00
2025-05-01,7.9,m2,china,tushare,monthly,2025-05-01,2026-03-28 08:13:22.856771+00:00
2025-06-01,8.3,m2,china,tushare,monthly,2025-06-01,2026-03-28 08:13:22.856771+00:00
2025-07-01,8.8,m2,china,tushare,monthly,2025-07-01,2026-03-28 08:13:22.856771+00:00
2025-08-01,8.8,m2,china,tushare,monthly,2025-08-01,2026-03-28 08:13:22.856771+00:00
2025-09-01,8.4,m2,china,tushare,monthly,2025-09-01,2026-03-28 08:13:22.856771+00:00
2025-10-01,8.2,m2,china,tushare,monthly,2025-10-01,2026-03-28 08:13:22.856771+00:00
2025-11-01,8.0,m2,china,tushare,monthly,2025-11-01,2026-03-28 08:13:22.856771+00:00
2025-12-01,8.5,m2,china,tushare,monthly,2025-12-01,2026-03-28 08:13:22.856771+00:00
2026-01-01,9.0,m2,china,tushare,monthly,2026-01-01,2026-03-28 08:13:22.856771+00:00
2026-02-01,9.0,m2,china,tushare,monthly,2026-02-01,2026-03-28 08:13:22.856771+00:00
